state,date,count,score
CA,3_3,138,0.07953597831315225
CA,3_4,3,0.3
CA,3_5,19,0.16702694235588975
CA,3_6,302,0.08877797561158489
CA,3_7,29,0.1528790893015031
OH,3_3,39,0.13884906759906762
OH,3_4,2,0.15
OH,3_5,9,0.054365079365079366
OH,3_6,75,0.05902693903318904
OH,3_7,11,0.11789321789321788
TX,3_3,105,0.10540307840307843
TX,3_4,2,0.35
TX,3_5,22,0.09935146923783288
TX,3_6,248,0.06639792431564105
TX,3_7,30,0.04821795334295335
GA,3_3,27,0.0997170781893004
GA,3_4,1,-0.6999999999999998
GA,3_5,5,0.23357142857142854
GA,3_6,59,0.08865341902683004
GA,3_7,6,-0.02008928571428571
NY,3_3,64,0.09133586140422079
NY,3_4,1,0.0
NY,3_5,19,0.17559808612440192
NY,3_6,133,0.06990623655097342
NY,3_7,14,0.0978586889301175
